PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,,,,
p1,0,Alluvial,0.7638721,0.75,-2.8481715,,Avg of Allu:,-2.309375267,std:,0.276272448
p1,2,Alluvial,0.59807813,0.5,-2.164379,,,,,
p1,4,Alluvial,0.40993518,0.5,-2.2171564,,,,,
p1,6,Alluvial,0.91282886,0.8,-2.0720043,,,,,
p1,7,Alluvial,0.8745212,0.95,-2.3184786,,,,,
p1,8,Alluvial,0.71273506,0.8,-2.2360618,,,,,
p1,3,Bar,0.64198196,0.75,-2.1014864,,Avg of bar:,-2.51432585,std:,0.583843149
p1,5,Bar,0.20647267,0.2,-2.9271653,,,,,
p1,1,Radar,0.49859864,0.48,-2.799886,,Avg. of radar: ,-2.8542515,std: ,0.076884427
p1,9,Radar,0.32182613,0.33,-2.908617,,,,,